Species	traits
Pseudoginglymostoma_brevicaudatum	2
Pseudotriakis_microdon	2
Rhincodon_typus	0
Rhinoscymnus_rostratus	2
Rhizoprionodon_acutus	2
Rhizoprionodon_lalandii	2
Rhizoprionodon_longurio	2
Rhizoprionodon_oligolinx	2
Rhizoprionodon_porosus	2
Rhizoprionodon_taylori	2
Schroederichthys_bivius	0
Scoliodon_laticaudus	2
Scoliodon_macrorhynchos	2
Scyliorhinus_canicula	2
Scyliorhinus_capensis	2
Scyliorhinus_hachijoensis	NA
Scyliorhinus_retifer	2
Scyliorhinus_stellaris	2
Scyliorhinus_torazame	2
Scylliogaleus_quecketti	0
Scymnodalatias_albicauda	2
Scymnodon_ichiharai	2
Scymnodon_ringens	2
Somniosus_microcephalus	1
Sphyrna_corona	2
Sphyrna_lewini	2
Sphyrna_media	2
Sphyrna_mokarran	2
Sphyrna_tiburo	2
Sphyrna_tudes	2
Sphyrna_zygaena	2
Squaliolus_aliae	2
Squaliolus_laticaudus	2
Squalus_acanthias	2
Squalus_albicaudus	NA
Squalus_blainvillei	2
Squalus_brevirostris	2
Squalus_chloroculus	2
Squalus_crassispinus	2
Squalus_cubensis	2
Squalus_edmundsi	2
Squalus_formosus	2
Squalus_grahami	2
Squalus_hemipinnis	2
Squalus_japonicus	2
Squalus_megalops	2
Squalus_mitsukurii	2
Squalus_montalbani	2
Squalus_nasutus	2
Squalus_raoulensis	2
Squalus_suckleyi	2
Squatina_aculeata	2
Squatina_africana	2
Squatina_albipunctata	2
Squatina_argentina	2
Squatina_armata	2
Squatina_australis	2
Squatina_californica	1
Squatina_david	NA
Squatina_dumeril	2
Squatina_formosa	1
Squatina_guggenheim	2
Squatina_japonica	2
Squatina_legnota	2
Squatina_mapama	NA
Squatina_nebulosa	2
Squatina_occulta	2
Squatina_oculata	2
Squatina_pseudocellata	2
Squatina_squatina	1
Squatina_tergocellata	2
Squatina_tergocellatoides	2
Stegostoma_fasciatum	1
Sutorectus_tentaculatus	1
Triaenodon_obesus	2
Triakis_megalopterus	2
Triakis_scyllium	2
Triakis_semifasciata	2
Trigonognathus_kabeyai	2
Zameus_squamulosus	2
